resample,F1-Score,Accuracy,Sensitivity,AUC
NONE,0.91640421,0.8467961677067768,0.319205298013245,0.588968061278914
NONE,0.91640421,0.7769476429052767,0.4980132450331125,0.6406353377610433
NONE,0.91640421,0.7056634730889807,0.6251655629139072,0.6663249914281905
NONE,0.91640421,0.9778793472210014,0.0,0.5
NONE,0.91640421,0.9403474846913364,0.4264900662251655,0.6892307713676163
NONE,0.91640421,0.920541443262723,0.4900662251655629,0.710172733867537
NONE,0.91640421,0.8101139726348481,0.7933774834437086,0.8019350264773673
NONE,0.91640421,0.9777035539538836,0.1496688741721854,0.5730517189652873
NONE,0.91640421,0.8147138964577657,0.7377483443708609,0.7771016410253153
NONE,0.91640421,0.8140400222671472,0.7377483443708609,0.7767570820607901
NONE,0.91640421,0.8514839881632533,0.6503311258278146,0.7531827009771863
NONE,0.91640421,0.9778793472210014,0.0,0.5
ROS,0.91640421,0.7655503794204682,0.5350993377483444,0.6529313802835682
ROS,0.91640421,0.765901965954704,0.5298013245033113,0.6505220668537649
ROS,0.91640421,0.6988954323049427,0.6609271523178808,0.6803407333976749
ROS,0.91640421,0.7224224312208842,0.7086092715231788,0.7156720854260188
ROS,0.91640421,0.9147109665699804,0.5046357615894039,0.7143115289250951
ROS,0.91640421,0.9156485306612756,0.5178807947019868,0.7212636236213673
ROS,0.91640421,0.8153584717705312,0.7907284768211921,0.8033220524086784
ROS,0.91640421,0.8858515718847968,0.7298013245033113,0.8095914580330554
ROS,0.91640421,0.8140693211450002,0.7390728476821192,0.7774193337164192
ROS,0.91640421,0.8140693211450002,0.7390728476821192,0.7774193337164192
ROS,0.91640421,0.8514839881632533,0.6503311258278146,0.7531827009771863
ROS,0.91640421,0.815680759426914,0.7337748344370861,0.775654195742033
SMOTE,0.91640421,0.925903137909818,0.1403973509933775,0.5420347253528729
SMOTE,0.91640421,0.9228853534909612,0.1576158940397351,0.54890622122888
SMOTE,0.91640421,0.6941490140927602,0.6649006622516557,0.679855652314706
SMOTE,0.91640421,0.776596056371041,0.5920529801324503,0.6864117968735118
SMOTE,0.91640421,0.9715800884826112,0.3245033112582781,0.655360476338631
SMOTE,0.91640421,0.9694119715214908,0.4052980132450331,0.6937354160184898
SMOTE,0.91640421,0.8105241569247897,0.7880794701986755,0.7995556746966532
SMOTE,0.91640421,0.9283935425273212,0.6251655629139072,0.7802092196161099
SMOTE,0.91640421,0.8147138964577657,0.7377483443708609,0.7771016410253153
SMOTE,0.91640421,0.8147138964577657,0.7377483443708609,0.7771016410253153
SMOTE,0.91640421,0.8514839881632533,0.6503311258278146,0.7531827009771863
SMOTE,0.91640421,0.815680759426914,0.7337748344370861,0.775654195742033
ADA,0.91640421,0.9213911107204594,0.1298013245033112,0.5345495117243306
ADA,0.91640421,0.9223286748117548,0.1245033112582781,0.532439814785419
ADA,0.91640421,0.6884943306671355,0.6728476821192053,0.6808479781641089
ADA,0.91640421,0.771117166212534,0.5748344370860927,0.6751958618795756
ADA,0.91640421,0.9708183176584336,0.3139072847682119,0.6497928082517954
ADA,0.91640421,0.9674489467053412,0.3960264900662251,0.6882008049564108
ADA,0.91640421,0.7924174504116492,0.8211920529801324,0.8064792959052148
ADA,0.91640421,0.921918490521813,0.6649006622516557,0.7963165823242937
ADA,0.91640421,0.8147138964577657,0.7377483443708609,0.7771016410253153
ADA,0.91640421,0.8147138964577657,0.7377483443708609,0.7771016410253153
ADA,0.91640421,0.8514839881632533,0.6503311258278146,0.7531827009771863
ADA,0.91640421,0.815680759426914,0.7337748344370861,0.775654195742033
RUS,0.91640421,0.6873223755530163,0.7298013245033113,0.7080813909189615
RUS,0.91640421,0.6599572236383346,0.752317880794702,0.7050929049227584
RUS,0.91640421,0.6969617063666461,0.5960264900662252,0.647635728254589
RUS,0.91640421,0.6577891066772142,0.785430463576159,0.7201660946835733
RUS,0.91640421,0.818288359555829,0.8635761589403973,0.8404200305727872
RUS,0.91640421,0.7972224663795376,0.8317880794701987,0.814114317779203
RUS,0.91640421,0.815680759426914,0.7615894039735099,0.7892468831948087
RUS,0.91640421,0.8189622337464475,0.8503311258278146,0.8342918812264671
RUS,0.91640421,0.8114031232603791,0.7377483443708609,0.7754088078517776
RUS,0.91640421,0.8111394333597023,0.7377483443708609,0.7752739804308764
RUS,0.91640421,0.8514839881632533,0.6503311258278146,0.7531827009771863
RUS,0.91640421,0.815680759426914,0.7337748344370861,0.775654195742033
RUS,0.91640421,0.6873223755530163,0.7298013245033113,0.7080813909189615
RUS,0.91640421,0.6599572236383346,0.752317880794702,0.7050929049227584
RUS,0.91640421,0.6969617063666461,0.5960264900662252,0.647635728254589
RUS,0.91640421,0.6577891066772142,0.785430463576159,0.7201660946835733
RUS,0.91640421,0.818288359555829,0.8635761589403973,0.8404200305727872
RUS,0.91640421,0.7972224663795376,0.8317880794701987,0.814114317779203
RUS,0.91640421,0.815680759426914,0.7615894039735099,0.7892468831948087
RUS,0.91640421,0.8189622337464475,0.8503311258278146,0.8342918812264671
RUS,0.91640421,0.8114031232603791,0.7377483443708609,0.7754088078517776
RUS,0.91640421,0.8111394333597023,0.7377483443708609,0.7752739804308764
